拍位置,Tick,テンポ,絶対時間
47.4.0,89760,120.0,93.5
48.1.0,90240,120.0,94.0
48.2.0,90720,120.0,94.5
48.3.0,91200,120.0,95.0
48.4.0,91680,120.0,95.5
49.1.0,92160,120.0,96.0
49.2.0,92640,120.0,96.5
49.3.0,93120,120.0,97.0
49.4.0,93600,120.0,97.5
50.1.0,94080,120.0,98.0
50.2.0,94560,120.0,98.5
50.3.0,95040,120.0,99.0
50.4.0,95520,120.0,99.5
51.1.0,96000,120.0,100.0
51.2.0,96480,120.0,100.5
51.3.0,96960,120.0,101.0
51.4.0,97440,120.0,101.5
52.1.0,97920,120.0,102.0
52.2.0,98400,120.0,102.5
52.3.0,98880,120.0,103.0
52.4.0,99360,120.0,103.5
53.1.0,99840,120.0,104.0
53.2.0,100320,120.0,104.5
53.3.0,100800,120.0,105.0
53.4.0,101280,120.0,105.5
54.1.0,101760,120.0,106.0
54.2.0,102240,120.0,106.5
54.3.0,102720,120.0,107.0
54.4.0,103200,120.0,107.5
55.1.0,103680,120.0,108.0
55.2.0,104160,120.0,108.5
55.3.0,104640,120.0,109.0
55.4.0,105120,120.0,109.5
56.1.0,105600,120.0,110.0
56.2.0,106080,120.0,110.5
56.3.0,106560,120.0,111.0
56.4.0,107040,120.0,111.5
57.1.0,107520,120.0,112.0
57.2.0,108000,120.0,112.5
57.3.0,108480,120.0,113.0
57.4.0,108960,120.0,113.5
58.1.0,109440,120.0,114.0
58.2.0,109920,120.0,114.5
58.3.0,110400,120.0,115.0
58.4.0,110880,120.0,115.5
59.1.0,111360,120.0,116.0
59.2.0,111840,120.0,116.5
59.3.0,112320,120.0,117.0
59.4.0,112800,120.0,117.5
60.1.0,113280,120.0,118.0
60.2.0,113760,120.0,118.5
60.3.0,114240,120.0,119.0
60.4.0,114720,120.0,119.5
61.1.0,115200,120.0,120.0
61.2.0,115680,120.0,120.5
61.3.0,116160,120.0,121.0
61.4.0,116640,120.0,121.5
62.1.0,117120,120.0,122.0
62.2.0,117600,120.0,122.5
62.3.0,118080,120.0,123.0
62.4.0,118560,120.0,123.5
63.1.0,119040,120.0,124.0
63.2.0,119520,120.0,124.5
63.3.0,120000,120.0,125.0
63.4.0,120480,120.0,125.5
64.1.0,120960,120.0,126.0
64.2.0,121440,120.0,126.5
64.3.0,121920,120.0,127.0
64.4.0,122400,120.0,127.5
65.1.0,122880,120.0,128.0
65.2.0,123360,120.0,128.5
